,nombre articulo,categoria,price,priceprevious,rating
0,Taza Blanca para sublimacion TLP 11oz AA – 36pz,"Ceramica, 11oz, Blancos, Ofertas de Temporada",475.20.,El precio original era: $558.00.,Valorado con 5.00 de 5
1,Taza Blanca para sublimacion TLP 11oz AA – 72pz,"Ceramica, 11oz, Blancos",950.40.,"El precio original era: $1,116.00.",Valorado con 5.00 de 5
2,Taza para sublimar TLP 11oz [ magica negro matte ] Pack 36pz,"Ceramica, 11oz, Blancos",720.00.,El precio original era: $864.00.,
3,Taza para sublimar TLP 11oz [ magica negro matte ] Pack 12pz,"Ceramica, 11oz, Blancos",264.00.,El precio original era: $336.00.,
4,Taza Blanca mate para sublimacion TLP 11oz AA – 36pz,"Ceramica, 11oz, Blancos",504.00.,El precio original era: $588.00.,
5,Muestrario para sublimación 36pz de tazas 11oz,"Ceramica, 11oz, Blancos, Ofertas de Temporada",873.00.,"El precio original era: $1,199.00.",Valorado con 5.00 de 5
6,Taza Blanca para sublimacion TLP 11oz AA – 12pz,"Ceramica, 11oz, Blancos",165.60.,El precio original era: $186.00.,
7,Taza Blanca para sublimacion TLP 11oz AA – 24pz,"Ceramica, 11oz, Blancos, Ofertas de Temporada",331.20.,El precio original era: $372.00.,Valorado con 5.00 de 5
8,Taza para sublimar 11oz base redonda [Round] Pack 36pz,"Ceramica, 11oz, Blancos",684.00.,El precio original era: $918.00.,Valorado con 5.00 de 5
9,Taza para sublimar cónica 12oz – 6pz,"Ceramica, 12oz, Blancos",105.00.,El precio original era: $150.00.,
10,Taza para sublimacion 11oz [Tipo Espejo Dorada] 12pz,"Ceramica, 11oz, Blancos",354.00.,El precio original era: $425.00.,
11,Taza para sublimar Diamante 11oz TLP [ color rosa ] Pack 12pz,"Ceramica, 11oz, Blancos",396.00.,El precio original era: $502.00.,
12,Taza para sublimacion 11oz [Tipo Espejo Plata] 12pz,"Ceramica, 11oz, Blancos",354.00.,El precio original era: $425.00.,
13,Taza para sublimar blanca 15oz TLP Pack 36pz,"Ceramica, 15oz, Blancos",792.00.,"El precio original era: $1,285.00.",
14,Taza para sublimar TLP 11oz [ magica negro matte ] Pack 72pz,"Ceramica, 11oz, Blancos","1,440.00.","El precio original era: $1,728.00.",
15,Muestrario para sublimación 36pz de tazas tipo espejo 11oz,"Ceramica, 11oz, Blancos",900.00.,"El precio original era: $1,300.00.",Valorado con 5.00 de 5
16,Taza para sublimacion 11oz TLP [interno rosa] 12pz,"Ceramica, 11oz, Blancos",257.00.,El precio original era: $300.00.,
17,Taza para sublimacion 11oz TLP [interno Negro] 12pz,"Ceramica, 11oz, Blancos",270.00.,El precio original era: $300.00.,
18,Taza para sublimar blanca 15oz TLP Pack 12pz,"Ceramica, 15oz, Blancos",300.00.,El precio original era: $428.00.,Valorado con 5.00 de 5
19,Taza Blanca mate para sublimacion TLP 11oz AA – 72pz,"Ceramica, 11oz, Blancos","1,008.00.","El precio original era: $1,175.00.",Valorado con 5.00 de 5
20,Taza para sublimar 11oz base redonda [Round] Pack 12pz,"Ceramica, 11oz, Blancos",306.00,,
21,Taza para subliamar cónica 17oz | 12pz,"Ceramica, 17oz, Blancos",336.00.,El precio original era: $420.00.,Valorado con 5.00 de 5
22,Taza Blanca Mate para sublimacion TLP 11oz AA – 12pz,"Ceramica, 15oz, Blancos",180.00.,El precio original era: $195.00.,Valorado con 5.00 de 5
23,Taza para subliamar cónica 17oz | 6pz,"Ceramica, 17oz, Blancos",168.00.,El precio original era: $210.00.,
24,Taza para sublimar blanca TLP 11oz [ interno y asa de color rojo ] Pack 12pz,"Ceramica, 11oz, Blancos",306.00.,El precio original era: $385.00.,
25,Taza Glitter Plata para sublimacion TLP 11oz – con 12pz,"Ceramica, 11oz, Blancos",396.00.,El precio original era: $420.00.,Valorado con 5.00 de 5
26,Taza para sublimacion 11oz TLP [interno Amarillo] 12pz,"Ceramica, 11oz, Blancos",270.00.,El precio original era: $300.00.,
27,Taza para sublimar TLP 15oz blanco Matte | 36pz,"Ceramica, 15oz, Blancos",882.00.,"El precio original era: $1,044.00.",
28,Taza para sublimar TLP 11oz [ magica negro matte ] Pack 24pz,"Ceramica, 11oz, Blancos",528.00.,El precio original era: $672.00.,
29,Taza para sublimación ideal para Expresso 6oz TLP Pack 12pz,"Ceramica, 6oz, Blancos",183.60.,El precio original era: $226.44.,
30,Taza para sublimar TLP 15oz blanco Matte | 12pz,"Ceramica, 15oz, Blancos",294.00.,El precio original era: $360.00.,
31,Taza para sublimar TLP 15oz blanco Matte | 6pz,"Blancos, Ceramica",147.00.,El precio original era: $210.00.,
32,Taza para sublimacion 11oz TLP [interno verde limon] 12pz,"Ceramica, 11oz, Blancos",264.00.,El precio original era: $315.00.,
33,Taza para sublimar blanca 15oz TLP [ filo y asa de color roja] Pack 6pz,"Ceramica, 15oz, Blancos",177.00.,El precio original era: $214.00.,
34,Taza para sublimacion 11oz [Tipo Espejo Plata] 36pz,"Ceramica, 11oz, Blancos",900.00.,"El precio original era: $1,175.00.",
35,Taza para sublimacion 11oz [Tipo Espejo Champagne] 12pz,"Ceramica, 11oz, Blancos",391.20.,El precio original era: $425.00.,
36,Taza para sublimar blanca Matte15oz TLP Pack 6pz Interno Rojo,"Ceramica, 15oz, Blancos",180.00.,El precio original era: $214.00.,
37,Taza para sublimar blanca 15oz TLP [ filo y asa de color rosa ] Pack 12pz,"Ceramica, 15oz, Blancos",354.00.,El precio original era: $428.00.,
38,Taza para sublimar 11oz base redonda [Round] Pack 72pz,"Ceramica, 11oz, Blancos","1,368.00.","El precio original era: $1,836.00.",
39,Taza para sublimar blanca TLP 11oz [ interno y asa de color rosa] Pack 24pz,"Ceramica, 11oz, Blancos",600.00.,El precio original era: $612.00.,
40,Taza para sublimacion 11oz TLP [Interno Negro ] 24pz,"Ceramica, 11oz, Blancos",540.00.,El precio original era: $600.00.,
41,Taza para sublimación cónica 17oz | 24pz,"Ceramica, 17oz, Blancos",672.00.,El precio original era: $840.00.,
42,Taza para sublimacion 11oz [Tipo Espejo Dorada] 36pz,"Ceramica, 11oz, Blancos",900.00.,"El precio original era: $1,175.00.",
43,Taza para sublimar blanca 15oz TLP [ filo y asa de color rosa ] Pack 6pz,"Ceramica, 15oz, Blancos",177.00.,El precio original era: $214.00.,
44,Taza para sublimar blanca TLP 11oz [ interno y asa de color negro] Pack 12pz,"Ceramica, 11oz, Blancos",300.00.,El precio original era: $360.00.,
45,Taza para sublimar cónica 12oz – 12pz,"Ceramica, 12oz, Blancos",210.00.,El precio original era: $300.00.,
46,Taza Blanca Mate para sublimacion TLP 11oz AA – 24pz,"Ceramica, 11oz, Blancos",360.00.,El precio original era: $392.00.,Valorado con 5.00 de 5
47,Taza para sublimar TLP 15oz blanco Matte | 24pz,"Ceramica, 15oz, Blancos",588.00.,El precio original era: $696.00.,
48,Taza para sublimacion 11oz TLP [interno Naranja ] 12pz,"Ceramica, 11oz, Blancos",257.00.,El precio original era: $300.00.,
49,Taza Beige para sublimacion TLP 11oz AA – 36pz,"Ceramica, 11oz, Blancos",522.00.,El precio original era: $660.00.,Valorado con 5.00 de 5
50,Taza cerámica mágica color negro mate spark 11oz -12pz,"Ceramica, 11oz, Blancos",396.00.,El precio original era: $468.00.,
51,Taza para sublimar blanca Matte15oz TLP Pack 6pz Interno Azul Cobalto,"Ceramica, 15oz, Blancos",180.00.,El precio original era: $214.00.,
52,Taza para sublimacion 11oz TLP [interno azul claro] 12pz,"Ceramica, 11oz, Blancos",257.04.,El precio original era: $300.00.,
53,Taza para sublimar blanca TLP 11oz [ interno y asa de color verde claro ] Pack 12pz,"Ceramica, 11oz, Blancos",281.52.,El precio original era: $306.00.,
54,Taza para sublimar blanca 15oz TLP Pack 6pz,"Ceramica, 15oz, Blancos",150.00.,El precio original era: $214.00.,
55,Taza para sublimar blanca 15oz TLP [ filo y asa de color roja] Pack 12pz,"Ceramica, 15oz, Blancos",354.00.,El precio original era: $428.00.,
56,Taza para sublimar blanca TLP 11oz [ interno y asa de color amarillo ] Pack 12pz,"Ceramica, 11oz, Blancos",300.00.,El precio original era: $306.00.,
57,Taza para sublimar blanca TLP 11oz [ interno y asa de color azul cielo] Pack 12pz,"Ceramica, 11oz, Blancos",300.00.,El precio original era: $370.00.,
58,Taza para sublimar blanca Matte 15 oz TLP Pack 12pz Interno Negro,"Ceramica, 15oz, Blancos",360.00.,El precio original era: $428.00.,
59,Taza para sublimar blanca Matte 15 oz TLP Pack 6pz Interno Azul Claro,"Ceramica, 15oz, Blancos",180.00.,El precio original era: $214.00.,Valorado con 5.00 de 5
60,Taza para sublimacion 11oz TLP [Interno rosa] 24pz,"Ceramica, 11oz, Blancos",514.00.,El precio original era: $600.00.,
61,Taza para sublimar blanca 15oz TLP [ filo y asa de color verde claro ] Pack 6pz,"Ceramica, 15oz, Blancos",177.00.,El precio original era: $214.00.,
62,Taza para subliamar cónica 17oz | 48pz,"Ceramica, 17oz, Blancos","1,344.00.","El precio original era: $1,680.00.",
63,Taza para sublimar blanca Matte 15 oz TLP Pack 6pz Interno Naranja,"Ceramica, 15oz, Blancos",180.00.,El precio original era: $214.00.,
64,Taza para sublimar blanca Matte 15 oz TLP Pack 6pz Interno Negro,"Ceramica, 15oz, Blancos",180.00.,El precio original era: $214.00.,
65,Taza para sublimacion 11oz TLP [Interno azul claro] 36pz,"Ceramica, 11oz, Blancos",771.12.,El precio original era: $900.00.,
66,Taza para sublimacion 11oz TLP [interno azul cobalto] 12pz,"Ceramica, 11oz, Blancos",270.00.,El precio original era: $300.00.,
67,Taza para sublimar 11oz terminado [Matte color rojo interno] Pack 12pz,"Ceramica, 11oz, Blancos",300.00.,El precio original era: $325.00.,
68,Taza para sublimar 11oz terminado [Matte color rosa interno] Pack 12pz,"Ceramica, 11oz, Blancos",300.00.,El precio original era: $325.00.,
69,Taza para sublimar blanca TLP 11oz [ interno y asa de color azul cobalto ] Pack 12pz,"Ceramica, 11oz, Blancos",306.00.,El precio original era: $410.00.,
70,Taza para sublimar blanca 15oz TLP Pack 24pz,"Ceramica, 15oz, Blancos",526.32.,El precio original era: $857.00.,Valorado con 5.00 de 5
71,Taza para sublimacion 11oz TLP [Interno azul claro] 24pz,"Ceramica, 11oz, Blancos",514.00.,El precio original era: $600.00.,
72,Taza para sublimar TLP 11oz terminado [Matte color azul claro interno] Pack 72pz,"Ceramica, 11oz, Blancos","1,800.00.","El precio original era: $1,836.00.",
73,Taza para sublimar 11oz terminado [Matte color verde claro interno] Pack 12pz,"Blancos, Ceramica",312.00.,El precio original era: $325.00.,
74,Taza para sublimar 11oz base redonda [Round] Pack 24pz,"Ceramica, 11oz, Blancos",612.00,,
75,Taza para sublimar blanca TLP 11oz [ interno y asa de color azul cielo] Pack 36pz,"Ceramica, 11oz, Blancos",882.00.,El precio original era: $918.00.,
76,Taza para sublimar blanca 15oz TLP [ filo y asa de color Amarillo] Pack 6pz,"Ceramica, 15oz, Blancos",177.00.,El precio original era: $214.00.,
77,Taza para sublimar TLP 15oz blanco Matte | 72pz,"Ceramica, 15oz, Blancos","1,764.00.","El precio original era: $2,088.00.",
78,Taza para sublimar blanca Matte15oz TLP Pack 6pz Interno Amarillo,"Ceramica, 15oz, Blancos",180.00.,El precio original era: $214.00.,
79,Taza para sublimacion 11oz TLP [Interno verde limon ] 36pz,"Ceramica, 11oz, Blancos",774.00.,El precio original era: $800.00.,
80,Taza para sublimar blanca 15oz TLP [ filo y asa de color roja] Pack 24 pz,"Ceramica, 15oz, Blancos",708.00.,El precio original era: $857.00.,
81,Pallet 60 cajas TLP,"Ceramica, 11oz, Blancos","26,879.00","Rango de precios: desde $26,352.00 hasta $26,879.00",
82,Taza para sublimar blanca TLP 11oz [ interno y asa de color negro] Pack 36pz,"Ceramica, 11oz, Blancos",882.00.,El precio original era: $918.00.,
83,Taza Beige para sublimacion TLP 11oz AA – 12pz,"Ceramica, 11oz, Blancos",180.00.,El precio original era: $220.00.,
84,Taza para sublimar blanca Matte15oz TLP Pack 6pz Interno Rosa,"Ceramica, 15oz, Blancos",180.00.,El precio original era: $214.00.,
85,Taza para sublimar blanca Matte15oz TLP Pack 12pz Interno Roja,"Ceramica, 15oz, Blancos",360.00.,El precio original era: $428.00.,
86,Taza para sublimar blanca Matte 15 oz TLP Pack 12pz Interno Azul Cobalto,"Ceramica, 15oz, Blancos",360.00.,El precio original era: $428.00.,
87,Taza para sublimacion 11oz TLP [Interno rosa] 36pz,"Ceramica, 11oz, Blancos",771.12,,
88,Taza para sublimar blanca 15oz TLP [ filo y asa de color rosa ] Pack 24pz,"Ceramica, 15oz, Blancos",708.00.,El precio original era: $857.00.,
89,Taza para sublimar blanca 15oz TLP [ filo y asa de color verde claro ] Pack 12pz,"Ceramica, 15oz, Blancos",354.00.,El precio original era: $428.00.,
90,Taza para sublimar blanca TLP 11oz [ interno y asa de color rosa] Pack 36 pz,"Ceramica, 11oz, Blancos",882.00.,El precio original era: $918.00.,
91,set Taza Beige para sublimacion TLP 11oz AA – 72pz,"Ceramica, 11oz, Blancos","1,044.00.","El precio original era: $1,320.00.",
92,Taza cerámica mágica color negro mate spark 11oz 6pz,"Ceramica, 11oz, Blancos",198.00.,El precio original era: $234.00.,Valorado con 5.00 de 5
93,Taza para sublimar cónica 12oz – 24pz,"Ceramica, 12oz, Blancos",420.00.,El precio original era: $600.00.,Valorado con 4.00 de 5
94,Taza para sublimar blanca Matte 15 oz TLP Pack 12pz Interno Azul Claro,"Ceramica, 15oz, Blancos",360.00.,El precio original era: $428.00.,
95,Taza para sublimar blanca Matte 15 oz TLP Pack 36pz Interno Azul Cobalto,"Ceramica, 15oz, Blancos","1,080.00.","El precio original era: $1,278.00.",
96,Taza para sublimar blanca 15oz TLP Pack 72pz,"Ceramica, 15oz, Blancos","1,584.00.","El precio original era: $2,570.00.",
97,Taza para sublimacion 11oz TLP [Interno Naranja] 24pz,"Ceramica, 11oz, Blancos",514.00.,El precio original era: $600.00.,
98,Taza para sublimar blanca TLP 11oz [ interno y asa de color rojo ] Pack 36pz,"Ceramica, 11oz, Blancos",882.00.,El precio original era: $918.00.,
99,Taza para sublimar 11oz terminado [Matte color naranja interno] Pack 12pz,"Ceramica, 11oz, Blancos",300.00.,El precio original era: $325.00.,
100,Taza para sublimación ideal para Expresso 6oz TLP Pack 36pz,"Ceramica, 6oz, Blancos",550.80.,El precio original era: $679.32.,
101,Taza Beige para sublimacion TLP 11oz AA – 24pz,"Ceramica, 11oz, Blancos",360.00.,El precio original era: $440.00.,
102,Taza para sublimar blanca Matte 15 oz TLP Pack 6pz Interno Verde Claro,"Ceramica, 15oz, Blancos",180.00.,El precio original era: $214.00.,
103,Taza para sublimacion 11oz TLP [Interno verde limon] 24pz,"Ceramica, 11oz, Blancos",528.00.,El precio original era: $630.00.,
104,Taza para sublimacion 11oz [Tipo Espejo Dorada] 24pz,"Ceramica, 11oz, Blancos",708.00.,El precio original era: $825.00.,
105,Taza para sublimar Diamante 11oz TLP [ color dorado ] Pack 12pz,"Ceramica, 11oz, Blancos",348.00.,El precio original era: $502.00.,
106,Taza para sublimar blanca TLP 11oz [ interno y asa de color verde claro ] Pack 24 pz,"Ceramica, 11oz, Blancos",563.00.,El precio original era: $612.00.,
107,Taza para sublimar 11oz terminado [Matte color azul claro interno] Pack 36pz,"Ceramica, 11oz, Blancos",900.00.,El precio original era: $918.00.,
108,Taza para sublimar blanca TLP 11oz [ interno y asa de color azul cobalto ] Pack 24 pz,"Ceramica, 11oz, Blancos",612.00,,
109,Taza para sublimar blanca TLP 11oz [ interno y asa de color naranja ] Pack 12pz,"Ceramica, 11oz, Blancos",306.00.,El precio original era: $410.00.,
110,Taza para sublimar blanca 15oz TLP [ filo y asa de color naranja ] Pack 24pz,"Ceramica, 15oz, Blancos",708.00.,El precio original era: $857.00.,
111,Taza cerámica mágica color negro mate spark 11oz -24pz,"Ceramica, 11oz, Blancos",792.00.,El precio original era: $936.00.,
112,Taza para sublimacion 11oz TLP [Interno amarillo] 72pz,"Ceramica, 11oz, Blancos","1,548.00.","El precio original era: $1,600.00.",
113,Taza para sublimacion 11oz TLP [Interno Rosa] 72pz,"Ceramica, 11oz, Blancos","1,542.24.","El precio original era: $1,800.00.",
114,Taza para sublimacion 11oz [Tipo Espejo Champagne] 36pz,"Ceramica, 11oz, Blancos",918.00.,"El precio original era: $1,175.00.",
115,Taza para sublimar Diamante 11oz TLP [ color rosa ] Pack 72pz,"Ceramica, 11oz, Blancos","2,340.00.","El precio original era: $2,880.00.",
116,Taza para sublimar blanca 15oz TLP [ filo y asa de color rosa ] Pack 36pz,"Ceramica, 15oz, Blancos",972.00.,"El precio original era: $1,285.00.",
117,Taza para sublimar blanca TLP 11oz [ interno y asa de color amarillo ] Pack 24pz,"Ceramica, 11oz, Blancos",600.00.,El precio original era: $612.00.,
